time,latitude,longitude,depth,magnitude,magnitude_type,latitude_error,longitude_error,depth_error,time_error,magnitude_2,magnitude_2_type,event_type,hypo_method,hypo_precision,y,x,z,rupture_length,is_main_event,distance_to_main
2011-04-07 23:32:43.460000,38.20416666666667,141.92016666666666,65.89,7.2,D,0.0063333333333333,0.0133333333333333,1.18,0.12,7.1,W,earthquake,depth free,high manual,367.55019462918665,529.974289450884,100.4994858248984,55.97576014951099,True,
2011-06-19 16:26:49,38.46533333333333,141.841,54.4,2.4,V,0.004,0.0081666666666666,0.69,0.09,,,earthquake,depth free,high manual,396.39396206342786,522.3288017593691,89.73464103520725,,False,31.72220492317395
2011-06-20 00:33:09.200000,37.516,141.4605,43.69,2.4,V,0.0043333333333333,0.0111666666666666,1.45,0.11,,,earthquake,depth free,high manual,290.4595986245167,497.0452918631781,71.84542891880422,,False,88.59082261534807
2011-06-20 00:49:24.350000,38.523833333333336,141.92016666666666,43.96,4.1,D,0.0048333333333333,0.0105,0.94,0.12,4.3,V,earthquake,depth free,high manual,403.8184339942107,529.6526719171181,80.32010493193744,,False,41.505373600293055
2011-06-20 01:31:20.330000,37.48733333333333,141.3721666666667,27.9,3.5,V,0.0038333333333333,0.011,1.23,0.12,,,earthquake,depth free,high manual,287.4359310622504,490.90333020306525,55.336510788583446,,False,99.92261704713329
2011-06-20 03:29:35.790000,37.48116666666667,141.38733333333332,26.96,2.7,V,0.0036666666666666,0.0103333333333333,1.19,0.12,,,earthquake,depth free,high manual,286.86472956098885,492.3504819431726,54.497034212763275,,False,100.2093843857726
2011-06-20 05:44:29.550000,37.3815,141.46383333333333,28.52,1.8,V,0.0061666666666666,0.0158333333333333,1.62,0.19,,,earthquake,depth free,high manual,276.1851916150688,499.5661446703995,56.31332616981235,,False,105.94638148528446
2011-06-20 06:58:26.970000,38.94033333333333,141.48766666666666,102.61,1.9,V,0.006,0.0101666666666666,0.88,0.11,,,earthquake,depth free,high manual,443.7796001409823,484.56473519552384,137.59930610892343,,False,96.17352311036151
2011-06-20 07:02:19.470000,38.47266666666667,141.90783333333334,60.24,3.1,V,0.0045,0.0086666666666666,0.77,0.1,,,earthquake,depth free,high manual,397.2399677407117,527.4658436344528,96.130100599606,,False,30.114223467903162
2011-06-20 09:41:40.210000,38.30683333333333,141.79083333333332,49.69,4.0,V,0.0053333333333333,0.0095,0.68,0.11,,,earthquake,depth free,high manual,378.95264378534023,519.6007925387495,83.82574948432867,,False,22.707680826089845
2011-06-20 17:59:22.900000,38.65283333333333,141.68433333333334,49.5,3.0,V,0.0033333333333333,0.0069999999999999,0.74,0.09,,,earthquake,depth free,high manual,416.45543481460567,507.9906444622498,84.62209075691266,,False,55.92043310566116
2011-06-20 22:09:47.180000,38.55533333333333,141.69333333333333,54.53,2.5,V,0.0043333333333333,0.0083333333333333,0.83,0.11,,,earthquake,depth free,high manual,405.5023975832994,509.0084694309313,89.15247372848359,,False,44.81841141423242
2011-06-21 00:01:52.850000,38.4965,141.92283333333333,38.97,1.6,V,0.0045,0.0088333333333333,0.94,0.11,,,earthquake,depth free,high manual,401.09709768773155,530.547040384933,75.23430776045875,,False,42.000618698772826
2011-06-21 00:39:12.110000,38.318333333333335,141.85649999999998,61.45,1.1,V,0.0061666666666666,0.0136666666666666,0.78,0.13,,,earthquake,depth free,high manual,379.9611063115682,524.083272051155,96.1159621809331,,False,14.4204748302193
2011-06-21 03:12:58.270000,38.04316666666666,141.8781666666667,47.79,3.2,V,0.0076666666666666,0.0148333333333333,1.35,0.16,,,earthquake,depth free,high manual,350.5062167687706,529.2136652812042,81.40515280891847,,False,25.606039985889925
2011-06-21 05:26:25.130000,38.122166666666665,141.78083333333333,55.91,3.7,V,0.005,0.0088333333333333,0.79,0.1,,,earthquake,depth free,high manual,358.29076097884484,519.5008753045896,89.04114911278319,,False,18.07548050849796
2011-06-21 07:56:25.160000,37.434,141.47666666666666,25.11,2.1,V,0.005,0.0121666666666666,1.73,0.16,,,earthquake,depth free,high manual,282.1703621807984,500.6353586256276,53.19410587262777,,False,101.92294944374756
2011-06-21 11:07:32.580000,37.33766666666667,141.3655,45.38,2.4,V,0.0051666666666666,0.0128333333333333,1.08,0.13,,,earthquake,depth free,high manual,270.2771233086487,489.79700787987167,72.18967863562422,,False,108.98490510919736
2011-06-21 12:42:19.340000,38.546,141.57433333333333,13.78,1.4,V,0.0028333333333333,0.0038333333333333,0.9,0.06,,,earthquake,depth free,high manual,406.11467507182545,502.4602366424358,47.62759425759964,,False,70.9906977826035
2011-06-21 13:00:32.710000,39.14,141.887,52.96,2.9,V,0.0038333333333333,0.0078333333333333,0.66,0.09,,,earthquake,depth free,high manual,470.83571902963433,521.4029933761528,92.68207285509024,,False,103.9349730005098
2011-06-21 13:05:54.360000,37.36933333333334,141.47066666666666,27.23,2.1,V,0.0058333333333333,0.013,1.58,0.16,,,earthquake,depth free,high manual,274.9207003941122,500.35862428308553,55.043352396488416,,False,107.3478965412842
2011-06-21 13:34:46.120000,38.462500000000006,141.59466666666668,54.79,1.7,V,0.0045,0.0069999999999999,0.74,0.1,,,earthquake,depth free,high manual,394.78145361033046,501.1818768227136,88.12601096905411,,False,41.51683237744861
2011-06-21 14:17:00.910000,38.58133333333333,141.7315,60.73,4.0,D,0.0033333333333333,0.0066666666666666,0.64,0.08,4.2,V,earthquake,depth free,high manual,408.2105162011702,511.5334367361645,95.76688660804602,,False,44.89681831188533
2011-06-21 19:53:46.800000,38.78483333333333,141.62416666666667,70.93,3.4,V,0.0033333333333333,0.006,0.57,0.07,,,earthquake,depth free,high manual,429.3885492135834,500.0083708016101,106.21790371684104,,False,68.95388808027708
2011-06-21 21:19:20.460000,38.863,141.64033333333333,61.26,3.1,V,0.0043333333333333,0.0076666666666666,0.73,0.09,,,earthquake,depth free,high manual,438.6220399909324,501.6860562826968,97.19877245196176,,False,76.5658281981715
2011-06-21 22:16:44.910000,38.5045,141.47916666666666,59.44,1.3,V,0.0046666666666666,0.0069999999999999,0.8,0.1,,,earthquake,depth free,high manual,398.5622507706348,490.57837433397054,92.07327394800096,,False,50.840798583556435
2011-06-22 00:26:11.450000,38.52183333333333,141.91633333333334,37.87,0.9,V,0.0026666666666666,0.0058333333333333,0.7,0.07,,,earthquake,depth free,high manual,403.912677630444,529.9025273935229,74.22294176348139,,False,44.86303698615596
2011-06-22 00:28:05.850000,38.235,141.61283333333333,61.99,1.4,V,0.0045,0.0069999999999999,0.66,0.09,,,earthquake,depth free,high manual,369.5140828118032,503.6956994703661,94.27400617056112,,False,27.077255124634892
2011-06-22 02:11:33,38.05466666666666,141.42666666666665,61.14,1.5,V,0.0036666666666666,0.0056666666666666,0.8,0.08,,,earthquake,depth free,high manual,348.8148449841307,488.97730391421896,91.12232932066551,,False,46.04016956442386
2011-06-22 02:27:11.550000,38.488166666666665,141.89216666666667,42.95,2.2,V,0.0048333333333333,0.0101666666666666,0.9,0.12,,,earthquake,depth free,high manual,399.79802826900055,527.6059947247705,78.89255133351467,,False,38.8894743148554
2011-06-22 02:59:15.490000,37.456,141.31366666666668,30.0,2.9,V,0.0041666666666666,0.0123333333333333,1.25,0.13,,,earthquake,depth free,high manual,283.60935892688343,485.8176820747632,56.86741984550678,,False,104.40127899120748
2011-06-22 03:21:22.920000,38.18266666666666,141.84900000000002,59.15,1.7,V,0.0073333333333333,0.011,1.11,0.14,,,earthquake,depth free,high manual,365.141264497908,524.6367406099617,93.10599174800636,,False,9.431655563667
2011-06-22 05:43:58.600000,38.750166666666665,141.3336666666667,5.59,0.5,V,0.0048333333333333,0.0076666666666666,0.79,0.1,,,earthquake,depth free,high manual,427.9726714671691,481.0036428993836,38.78260001324311,,False,99.28733013429965
2011-06-22 08:26:40.690000,39.20433333333334,141.83616666666668,52.52,1.9,V,0.0034999999999999,0.0068333333333333,0.68,0.09,,,earthquake,depth free,high manual,477.6621368600617,516.6459916401011,92.25827880498538,,False,111.22140458353127
2011-06-22 09:57:11.600000,37.78033333333333,141.30100000000002,67.62,3.0,V,0.0033333333333333,0.0083333333333333,0.89,0.08,,,earthquake,depth free,high manual,317.79311474228285,479.388946582132,95.4341532031041,,False,71.13579623923768
2011-06-22 10:39:34.510000,39.178666666666665,142.18116666666666,51.89,4.0,D,0.004,0.0096666666666666,0.74,0.09,4.5,V,earthquake,depth free,high manual,476.747388005843,546.1900677860206,94.33041432637609,,False,110.56688451569505
2011-06-22 12:12:03.480000,38.32366666666667,141.77516666666668,54.81,1.0,V,0.01,0.0228333333333333,1.93,0.18,,,earthquake,depth free,high manual,380.45805521381504,517.666237342419,88.8744806127669,,False,21.289475281438456
2011-06-22 12:47:37.200000,38.45783333333333,141.84683333333334,44.02,1.3,V,0.004,0.008,1.02,0.08,,,earthquake,depth free,high manual,396.15957162525535,523.8362381831275,79.42174241555281,,False,36.06166098086725
2011-06-22 13:28:09.830000,37.5215,141.37866666666667,49.58,3.5,V,0.0038333333333333,0.0111666666666666,1.14,0.1,,,earthquake,depth free,high manual,290.4367723210729,489.3723857931726,77.09097951184457,,False,90.23831031500897
2011-06-22 13:37:15.570000,38.318000000000005,141.8485,58.11,2.1,V,0.0073333333333333,0.0121666666666666,1.18,0.13,,,earthquake,depth free,high manual,380.0536264940963,523.7059982349127,92.72714806758682,,False,16.00114112750689
2011-06-22 13:39:39.200000,38.5435,141.72283333333334,47.13,1.0,V,0.0028333333333333,0.008,0.75,0.07,,,earthquake,depth free,high manual,404.76367648537774,512.2866814506024,81.96581472915027,,False,45.17954927750012
2011-06-22 13:49:42.470000,37.515166666666666,141.3781666666667,45.09,1.1,V,0.0036666666666666,0.0096666666666666,1.03,0.09,,,earthquake,depth free,high manual,289.90344887006205,489.75849055306,72.59463554225367,,False,91.78784384257632
2011-06-22 13:50:51.370000,38.34783333333333,141.5931666666667,14.7,1.3,V,0.0068333333333333,0.0103333333333333,1.17,0.15,,,earthquake,depth free,high manual,384.245532003928,505.40015560554986,47.6386436770987,,False,60.63737277355799
2011-06-22 21:33:37.110000,38.04533333333333,141.60733333333332,57.34,2.8,V,0.0043333333333333,0.0069999999999999,0.83,0.09,,,earthquake,depth free,high manual,348.8779180225,504.9562993045883,88.71490255439552,,False,33.368100747513104
2011-06-23 02:11:24.900000,38.29633333333333,141.89,42.48,1.4,V,0.0056666666666666,0.0075,0.64,0.1,,,earthquake,depth free,high manual,378.6935463944663,528.8751239259248,77.41877915889143,,False,25.653488527260357
2011-06-23 03:11:02.660000,38.26316666666666,141.831,46.36,1.8,V,0.0066666666666666,0.0116666666666666,0.73,0.13,,,earthquake,depth free,high manual,374.53085798449223,523.6787664153571,80.62657287763376,,False,21.983992817059296
2011-06-23 11:38:31.850000,38.27516666666666,141.80283333333335,54.35,1.8,V,0.005,0.0085,0.64,0.1,,,earthquake,depth free,high manual,375.29751043784944,520.4363299406799,88.40105921900566,,False,17.24428891533725
2011-06-23 11:44:00.470000,38.18083333333333,141.6891666666667,50.87,3.0,V,0.0056666666666666,0.01,0.86,0.11,,,earthquake,depth free,high manual,364.5041754539897,511.64064005828936,83.56099208076384,,False,25.1458446504853
2011-06-23 12:23:56.400000,39.027166666666666,141.59833333333333,73.52,2.1,V,0.0038333333333333,0.0066666666666666,0.62,0.08,,,earthquake,depth free,high manual,455.6424971304457,495.86729846656146,110.0783365462726,,False,94.94890718233867
2011-06-23 19:35:02.290000,38.46683333333333,141.60783333333333,57.2,5.3,D,0.0038333333333333,0.0063333333333333,0.62,0.08,5.3,W,earthquake,depth free,high manual,395.1950914041555,502.0679486979416,90.65011805659115,,False,40.49708899851187
2011-06-23 20:05:04.400000,37.4095,141.366,43.24,1.4,V,0.0051666666666666,0.0144999999999999,1.35,0.14,,,earthquake,depth free,high manual,278.26803800536237,489.5538191727584,70.29667044108302,,False,102.55402462124421
2011-06-24 00:46:40.240000,38.492,141.89333333333332,51.1,1.4,V,0.0038333333333333,0.0075,0.8,0.1,,,earthquake,depth free,high manual,399.78235551055735,526.9253458993206,87.02570229901453,,False,35.067807093765694
2011-06-24 02:00:46.220000,38.07983333333333,141.55616666666668,60.21,2.5,V,0.0041666666666666,0.0068333333333333,0.78,0.08,,,earthquake,depth free,high manual,352.27277416044916,500.0513985033567,91.32217369830242,,False,34.82817877387759
2011-06-24 02:58:57.980000,38.376,141.85016666666667,64.15,3.1,V,0.005,0.0098333333333333,0.79,0.11,,,earthquake,depth free,high manual,386.1156966070206,522.8715490571507,99.04034849569712,,False,19.93127859760122
2011-06-24 03:48:10.200000,38.203,141.83700000000002,60.7,1.3,V,0.0068333333333333,0.0131666666666666,0.93,0.13,,,earthquake,depth free,high manual,367.23387058231623,523.3145837857088,94.64574176059688,,False,8.87231987812325
