time,latitude,longitude,depth,magnitude,magnitude_type,latitude_error,longitude_error,depth_error,time_error,magnitude_2,magnitude_2_type,event_type,hypo_method,hypo_precision,y,x,z,rupture_length,is_main_event,distance_to_main
2011-07-23 13:34:23.870000,38.873666666666665,142.09116666666668,47.16,6.4,D,0.0048333333333333,0.0105,0.97,0.1,6.3,W,earthquake,depth free,high manual,443.04111285830726,541.3463052556909,86.93596606231264,15.703628043335499,True,
2011-07-17 00:45:59.580000,38.821000000000005,142.03366666666668,52.4,1.1,V,0.0036666666666666,0.009,0.87,0.08,,,earthquake,depth free,high manual,436.62003258324177,536.3482247773704,91.34260051275685,,False,9.253621320674696
2011-07-17 11:29:48.200000,38.974833333333336,142.3201666666667,34.4,2.7,V,0.0063333333333333,0.0135,1.59,0.15,,,earthquake,depth free,high manual,456.2490033126865,561.3215800605715,76.85034831690164,,False,25.984219424333826
2011-07-17 13:42:32.430000,38.80616666666666,142.08566666666667,36.36,1.3,V,0.008,0.0191666666666666,2.42,0.17,,,earthquake,depth free,high manual,436.2387437261859,542.4159369509318,75.75355298225118,,False,13.132505475583534
2011-07-17 13:59:13.200000,39.010333333333335,142.3315,34.16,1.3,V,0.0053333333333333,0.0108333333333333,1.53,0.12,,,earthquake,depth free,high manual,460.23845721359953,562.027926749132,76.93333337196869,,False,28.697226019432684
2011-07-19 00:28:25.300000,38.765166666666666,142.15233333333333,33.93,2.5,V,0.0056666666666666,0.0141666666666666,1.74,0.15,,,earthquake,depth free,high manual,432.23682649045975,548.6695758426894,73.66556261902223,,False,18.61361070712897
2011-07-20 02:20:03.730000,38.793,142.07,36.22,1.7,V,0.0053333333333333,0.012,1.47,0.13,,,earthquake,depth free,high manual,434.7108333122392,541.1894614357589,75.40386523847113,,False,14.226999216656244
2011-07-20 11:19:25.100000,38.88433333333333,142.24433333333332,44.69,2.9,V,0.0045,0.0098333333333333,1.05,0.1,,,earthquake,depth free,high manual,445.217856203308,554.5692279303777,85.85664021198112,,False,13.444286516656195
2011-07-21 00:12:45.610000,38.79433333333333,142.12716666666668,36.6,1.7,V,0.0101666666666666,0.0208333333333333,2.48,0.21,,,earthquake,depth free,high manual,435.1504132553237,546.035154581539,76.27484833382749,,False,14.067973537281448
2011-07-22 18:03:07.450000,38.85516666666667,142.05216666666666,46.0,3.8,D,0.0053333333333333,0.0111666666666666,1.03,0.11,4.0,V,earthquake,depth free,high manual,440.8641249326447,538.2684724847984,85.34261594845717,,False,4.09281023007223
