mean_diff_beforeafter,p_beforeafter,corr_beforeafter,p_corr_beforeafter,mean_diff_close_beforeafter,p_close_beforeafter,corr_close_beforeafter,p_corr_close_beforeafter,mean_diff_far_beforeafter,p_far_beforeafter,corr_far_beforeafter,p_corr_far_beforeafter,mean_diff_farclose,p_farclose,corr_farclose,p_corr_farclose,mean_diff_after_farclose,p_after_farclose,corr_after_farclose,p_corr_after_farclose,mean_diff_before_farclose,p_before_farclose,corr_before_farclose,p_corr_before_farclose,mean_diff_before_before,p_before_before,corr_before_before,p_corr_before_before,mean_diff_beforebefore_close,p_beforebefore_close,corr_beforebefore_close,p_corr_beforebefore_close,iteration
-0.006419022957961393,0.752329816525766,0.19648598304028966,0.26538812527862793,-0.026962521973152808,0.7946584588471213,-0.4514696743586621,0.14067824086759473,-0.013858221483740156,0.9609144367991257,0.27127180129991096,0.13990329278970096,0.003173393916240466,0.21781974738191873,-0.04436278958003729,0.7972487982515313,-0.010688421923966662,0.7927806012186633,-0.07298477643022806,0.7346730336005356,-0.006386280150061089,0.1518951397952414,-0.29448400328418795,0.19503648379718794,0.0053477016495217765,0.3096875124952321,0.3806378933815567,0.016825167902981573,0.03318357617999019,0.230847335168197,-0.5624981295207575,0.07164936727291121,0
0.01652189936509551,0.06610994087821646,0.2946762528177652,0.090689517294361,-0.0027141360293946094,0.8602929401107433,0.34986883564427956,0.3216655247495456,0.02527566115584481,0.02073779543555704,0.24901555177456874,0.16932898121976286,-0.004359932462758875,0.6923072337240175,-0.02080678299506158,0.905563106900974,0.022096053967925272,0.025773599490353963,0.05979348315716422,0.7813672602811231,0.0037205264649371214,0.4783851589274404,0.022124370237127662,0.9305625688029762,0.008430419955278995,0.32334850882534494,-0.045525007996857075,0.7860826157129679,0.027424701307472637,0.11950446084954092,0.5271213559309869,0.07823492277534509,1
0.011382922015443244,0.0802491157182718,0.12932621834799787,0.473190501729247,0.0011987600969875407,0.0737582239819329,0.3555472130069298,0.2567060016661552,0.004673163942017833,0.34276254595879585,-0.06572510609630534,0.730043188135313,-0.006834785189983653,0.5622653648577717,-0.07741461982065555,0.653597818733335,-0.0035479530489314535,0.5061894247963472,-0.20668806904629722,0.3325331079533508,-0.01040872235254069,0.7777162113405409,-0.11382814237619854,0.6327673947425582,-0.010354689687371103,0.630701805332771,-0.2242120678644612,0.1759700034827087,-0.00636268573538624,0.7342423775085722,-0.3947718721817981,0.18189219533085635,2
-5.761995177645765e-05,0.5979349365458642,-0.3482266835052705,0.047041375872204076,0.026373694772143342,0.08707750674575025,-0.37339543330429353,0.258005200840419,-0.009948905354699661,0.866289407978075,-0.29534454247563896,0.10673365008980162,-0.0077105449032089535,0.8670813474741179,-0.14216002579207837,0.4081971356439298,-0.017262174963009955,0.9412301568968673,-0.15453746160922516,0.47090373989724676,0.02173648604248072,0.044298396646721645,-0.09304900492180691,0.6964020250472495,-0.007286208831782896,0.9348521851108096,-0.017231726222866207,0.9182148928727409,0.004045442855636738,0.3750252232456199,-0.5206015249337463,0.05630846566393295,3
0.005514392669901979,0.19820835630493822,0.4325183732952209,0.010626912333459698,0.011282627074090688,0.3845577418979301,0.07624362797269069,0.8236874965836617,0.005535568015098146,0.26239356500670946,0.26654403433114326,0.14721455985684415,-0.011124987888002745,0.9201809628348095,0.09105420705220364,0.5973995750214558,-0.01542434330669167,0.943440714056027,-0.059973220273932926,0.7807256758265932,0.0014024177335904497,0.5215361030379126,-0.23106955441456858,0.3269939075402898,0.0031778783584631796,0.3995682851969382,0.07373520519148893,0.6599730957043893,0.07872607608712084,0.01871221965568701,0.030769203495594755,0.9205160905892492,4
-0.0068414969592557094,0.7814906876199863,0.029018979175069827,0.8726391186178468,0.039402292600105034,0.06616286257379368,-0.04665328577868588,0.8916567426562365,-0.00995433608198485,0.8504337360441676,0.033962101113221885,0.8560736978204673,-0.009648884925084419,0.8759318627663847,0.082400286812728,0.6328158334753099,-0.010079485980652517,0.8720227391111817,0.002967106483847348,0.9890216184464604,0.022002731839859686,0.12477775216916419,-0.15072049559418177,0.52589741149173,-0.009764637384892963,0.9023183255098753,0.09025672052622091,0.5952433634227912,-0.029111895514173227,0.922189390396048,0.061858013630103015,0.833611432339481,5
0.011938696003433986,0.09498180478995108,0.11022551187379737,0.5348794504071243,-0.005212278589978303,0.5381350507226161,0.45250081512732276,0.13966097032929836,0.005599037109396287,0.2609984485838974,0.18162090627270017,0.32815775317391377,-0.009600270874473713,0.7733482451173925,0.09139434305427381,0.6015627067165226,-0.005400073811895929,0.5248044835626813,0.26190931181433097,0.2059719869236272,-0.0017225791426049685,0.5353054319461348,0.4734237379379056,0.03499403443299768,-0.008478822764982475,0.7640232063416603,0.14700720252710864,0.3784585989058901,-0.0013795467244036258,0.4738292500953076,0.552102120517507,0.04064925312792918,6
0.01735559047016834,0.05453802622451357,-0.2550492435390264,0.14546068059523562,0.002702039653803371,0.30434684484110736,-0.05071365193831871,0.8969081638447224,0.027142592021515755,0.06566529838898684,-0.3957674630981953,0.024950684909530087,0.0071070100363176125,0.2043356497423076,0.07356507934087696,0.6698225075841816,0.018978420669199355,0.14182542503036086,-0.22628438997515835,0.28766745314189685,0.00406547854262788,0.25762504002669995,0.2585548656413821,0.3002236544133634,0.018958463851129807,0.041425094153882625,0.2518673604466271,0.11692033963906423,-0.051931173009617373,0.96873037954764,0.24802189243240935,0.3925691202976779,7
-0.00418772133811884,0.692891611428311,0.06606050301470334,0.7104933744637986,-0.0027404559904898873,0.44445715986773215,-0.5063620164962186,0.11197523745735324,0.00034771448752417413,0.6715360290551036,-0.11772695680150266,0.5282111602567292,0.00509439084369427,0.37787956223913166,-0.22333674372036816,0.19041946136780444,0.0005541486996974321,0.48682379485606914,0.03584992503268883,0.8649102755568522,-0.004461348151857536,0.5980208988699974,-0.33880186541111346,0.1439513182844723,-0.008649876365663786,0.6771935026741402,-0.26170556062799377,0.10283598190924176,-0.05742864177466293,0.9943474398394199,0.4617368730225684,0.11220140397196228,8
0.004342849212450432,0.31923731243332987,0.19333873048420605,0.27327206075534344,-0.006531328211086747,0.593547514891154,-0.5457682522476724,0.08243892941019973,0.013354143758531457,0.1465302048069136,-0.06806226458864106,0.7160042766970195,-0.0066788365190688405,0.8181919831140803,0.3954435629698346,0.016979966755752876,0.006360235606230835,0.4450880176911509,0.09564009835856316,0.6566464196018325,0.007460515792042362,0.1564201453378597,0.19129309587197532,0.43274342161072654,-0.020111851887474913,0.9369062846512735,0.28434581474889314,0.0835966089172206,0.03344932059330934,0.08104787532278285,-0.008263784423184616,0.9776322232350545,9
