mean_diff_beforeafter,p_beforeafter,mean_diff_close_beforeafter,p_close_beforeafter,mean_diff_far_beforeafter,p_far_beforeafter,mean_diff_farclose,p_farclose,mean_diff_after_farclose,p_after_farclose,mean_diff_before_farclose,p_before_farclose,mean_diff_before_before,p_before_before,mean_diff_beforebefore_close,p_beforebefore_close,iteration
-0.0010518678730151165,0.4275073376973638,0.007475865800743701,0.318633539557221,0.015451398132728294,0.24559227821209167,0.01831872541765297,0.12533885053994492,0.03382207317372255,0.19710970257477256,0.03244872288420086,0.014623421786074245,-0.008288338081601199,0.8006400783804554,0.023608773171961233,0.09948626495267264,0
0.0044104560799117405,0.35612538917804526,-0.04581536881265458,0.9169658746437486,0.010467101290271695,0.26743570696904007,0.005089402148863059,0.18144531050993085,0.018867812670327045,0.1008696163506145,-0.017184105331762654,0.6439469082620058,-0.006751677802595772,0.8667870269206877,0.03259219617759189,0.1097856108548693,1
0.008378528235225904,0.15721839996901063,-0.0007790058446362214,0.5611372387145417,-0.004346915980465672,0.6272181857119314,-0.002099169966210261,0.6250421152793959,-0.004970286909688979,0.5855909466442937,-0.006210828011046762,0.7491115649528179,-0.016471940207852177,0.8221661783990899,0.012395105948850293,0.12336104536751129,2
0.0215206555102711,0.006960615040404126,0.004715502422909371,0.14855635793508487,0.00967592721927493,0.03118284863474061,-0.008559298539945448,0.8506443225550686,-0.005690843088113916,0.7293011646905343,0.00020518442172415968,0.5912058468780652,-0.0030165502626323996,0.782680245280545,-0.019447788828283772,0.8372161042998395,3
-0.010882740674756053,0.7690830969623419,0.020133536609358363,0.24459542472934748,-0.010105250544732877,0.7807552232746916,-0.006328102869522614,0.8507136174608642,-0.01276902426113515,0.7007658447086311,0.010365909027888233,0.21820399812797037,0.0001143558386420943,0.5517177889061079,0.03619242025852879,0.10172857526161502,4
0.0012558632715752548,0.35773090914565264,0.040307340086641844,0.013116325663668849,0.013486964931246253,0.15799743075296085,0.000459639177251185,0.5770612826548962,-0.0018782622022175978,0.6477554537153783,0.004831624083839845,0.5148547523189668,0.010053235355999295,0.3800213392227493,0.03028785782788828,0.2011056668719975,5
0.016312075656383436,0.05614966845265436,0.0382754826651988,0.02137969398411438,0.01251994443631548,0.22836945420563037,-0.012810350055250991,0.9445457480595514,-0.0038863630197299268,0.8601274342002626,0.010762606146844989,0.3843359326985844,0.004387290074546622,0.2830598291557378,-0.019211881368043335,0.6349264204763552,6
0.01621031921516685,0.07754789251142445,-0.11221141074782966,0.9496654757499985,0.02142873192412229,0.026269141042201023,-0.017073984199199962,0.9023687419555988,-0.00536752383741729,0.7679320870306086,-0.050258408757056665,0.8292564831332201,0.0025668447050189638,0.3504361813301123,-0.013228628783690216,0.5549990107609074,7
0.001660475692774506,0.3678718118808466,-0.05394612894334595,0.9016853838174064,0.020195964719050507,0.05864384947817171,0.0014199444076856823,0.20600596669214705,0.019656225471876954,0.06873045497997575,-0.042798024389902795,0.9461321938735134,0.002221062627391455,0.3491161117505367,-0.027934140908410905,0.8180475708229101,8
-0.008432884416000198,0.7235508445004912,-0.03367731723242879,0.9217412223107178,0.007204159362834491,0.4687830477583693,0.014323304369377636,0.18116009747696865,0.02917902205373627,0.0518693268402876,0.009975758944792752,0.1588820650740682,0.0066186319302144895,0.22107516556104706,0.010601639815480124,0.1471119554546223,9
-0.0029551051210377184,0.4784244886575496,0.022686001993950336,0.09317220908714842,0.00119305958522134,0.40240412306160467,-0.006829441580980798,0.7448092775726867,-0.018312678949558216,0.9469517800851721,0.010023641611653582,0.3373937159963699,-0.0007081597770716088,0.6296984563077033,0.01795814787567714,0.21981147148588664,10
-0.007817326745550957,0.6010891268066273,-0.007589639922985544,0.38088510157841204,-0.0029974944798389835,0.6461691905586449,0.00046286202741677076,0.6285582368898455,0.012269350723503339,0.4921055769937841,-0.01731281518265384,0.8036099992224204,-0.012345275119633507,0.7614029630787886,0.031728497142637285,0.10102806655011289,11
