time,latitude,longitude,depth,magnitude,magnitude_type,latitude_error,longitude_error,depth_error,time_error,magnitude_2,magnitude_2_type,event_type,hypo_method,hypo_precision,y,x,z,rupture_length,is_main_event,distance_to_main
2013-02-02 23:17:35.860000,42.702000000000005,143.2275,101.95,6.5,D,0.0085,0.0121666666666666,1.74,0.2,6.9,W,earthquake,depth free,high manual,862.1174036409305,596.339123203335,187.9393074605904,18.407720014689527,True,
2011-06-20 01:33:51.970000,42.90683333333333,143.34900000000002,123.07,1.0,V,0.0225,0.0193333333333333,1.45,0.19,,,earthquake,depth free,high manual,882.2195411433555,601.7566065054853,212.5974101729555,,False,32.271769193352625
2011-06-22 06:30:36.300000,42.93483333333333,143.42,118.74,2.5,V,0.0075,0.0101666666666666,1.19,0.14,,,earthquake,depth free,high manual,886.2485180365176,607.551723307244,209.36793068670505,,False,34.16458658362289
2011-06-22 19:35:08.780000,42.79933333333333,143.50533333333334,85.75,0.6,V,0.008,0.0115,1.59,0.2,,,earthquake,depth free,high manual,876.4758725144382,619.2184619659794,175.85181134578485,,False,29.592859492329676
2011-06-23 20:58:57.970000,42.73366666666666,143.42999999999998,97.43,0.6,v,0.0151666666666666,0.0205,1.54,0.22,,,earthquake,depth free,high manual,867.3720347823032,612.6293735749445,185.78449243706103,,False,17.251858838607294
2011-06-29 22:32:45.590000,42.74516666666667,142.96533333333332,94.9,2.7,V,0.0095,0.0128333333333333,1.64,0.2,,,earthquake,depth free,high manual,866.1371795021564,575.7550419396133,179.17880824754437,,False,22.729041904747632
2011-07-01 03:22:03.110000,42.73733333333333,143.24283333333332,98.37,2.4,V,0.0075,0.011,1.34,0.16,,,earthquake,depth free,high manual,866.4958626411126,597.5885300381,185.01369338834527,,False,5.412128819120182
2011-07-01 04:48:37,42.86383333333333,143.50283333333334,110.33,2.0,V,0.0078333333333333,0.0111666666666666,1.27,0.15,,,earthquake,depth free,high manual,880.2151815874674,615.7245486391154,200.9096307990637,,False,29.522086197166043
2011-07-03 05:43:27.400000,42.69116666666666,143.4435,95.55,0.6,V,0.013,0.0183333333333333,1.69,0.21,,,earthquake,depth free,high manual,863.0976418206985,614.3318012256775,183.50252237217447,,False,18.55754270439789
2011-07-03 08:09:01.850000,42.978,143.19283333333334,99.89,1.4,V,0.008,0.0123333333333333,1.58,0.19,,,earthquake,depth free,high manual,892.0349455996673,591.1048313587802,189.27483192119485,,False,30.401328154401696
2011-07-03 09:04:28.690000,42.51416666666667,143.31883333333332,87.86,0.7,V,0.0118333333333333,0.0231666666666666,1.97,0.25,,,earthquake,depth free,high manual,844.1181350860393,606.9505956007235,172.46356333327617,,False,26.00145517554234
2011-07-03 14:39:22.170000,42.79133333333333,142.869,114.91,0.9,V,0.024,0.0258333333333333,2.79,0.37,,,earthquake,depth free,high manual,867.979918163836,565.6529372854678,198.67906656531977,,False,33.03563997177602
2011-07-03 22:04:47.850000,42.94716666666666,143.4248333333333,92.23,1.4,V,0.0075,0.0101666666666666,1.31,0.16,,,earthquake,depth free,high manual,891.1359984344712,610.6277527974091,183.4565554966435,,False,32.654844122099604
2011-07-04 02:05:56.460000,42.52216666666666,142.89433333333332,104.64,2.2,V,0.0098333333333333,0.0121666666666666,1.53,0.19,,,earthquake,depth free,high manual,840.3390433921907,571.1955676119941,185.25983087454543,,False,33.37176887241534
2011-07-04 08:52:31.230000,42.927166666666665,143.12566666666666,95.63,1.5,V,0.0075,0.0111666666666666,1.31,0.16,,,earthquake,depth free,high manual,886.6983448685687,586.7045386715728,183.77447522631596,,False,26.72814468450673
2011-07-04 15:10:44.660000,42.83566666666667,143.28216666666668,114.57,1.1,V,0.008,0.0133333333333333,1.09,0.14,,,earthquake,depth free,high manual,875.2554891283439,598.0582244023584,202.6500992664678,,False,19.7982826215542
2011-07-06 01:13:13.300000,42.48883333333333,143.16033333333334,90.49,1.6,V,0.0093333333333333,0.0135,1.58,0.19,,,earthquake,depth free,high manual,840.073511764637,594.2316802594135,173.26722305752244,,False,26.563970816622174
2011-07-06 10:39:02.860000,42.52616666666667,143.00683333333333,96.85,1.1,V,0.0155,0.0243333333333333,2.28,0.29,,,earthquake,depth free,high manual,842.4073583900722,580.9380160353631,178.62567273822512,,False,26.69126781424754
2011-07-07 00:04:16.240000,42.7195,142.9548333333333,105.14,1.0,V,0.0125,0.0191666666666666,1.99,0.25,,,earthquake,depth free,high manual,861.9773920040618,574.1286351498298,188.8490057262537,,False,22.229550912420734
2011-07-07 15:10:17.380000,42.8565,142.8725,89.26,1.0,V,0.0136666666666666,0.0205,2.23,0.28,,,earthquake,depth free,high manual,878.3959543802841,567.8752188503116,174.2781021516538,,False,35.522015647830166
2011-07-08 07:32:19.220000,43.017833333333336,143.36083333333332,100.52,1.8,V,0.0078333333333333,0.0165,1.56,0.19,,,earthquake,depth free,high manual,897.2791056943297,603.9651103774899,191.98745768798048,,False,36.20619411006778
2011-07-08 09:18:57.500000,42.86833333333333,143.10683333333333,120.0,1.5,V,0.0144999999999999,0.0216666666666666,2.22,0.28,,,earthquake,depth free,high manual,877.0142366684306,583.2804612711818,206.8401669953497,,False,27.380408632089207
2011-07-10 12:56:40.400000,42.8665,143.10566666666665,112.89,1.3,V,0.0191666666666666,0.0236666666666666,2.71,0.34,,,earthquake,depth free,high manual,877.7436501645603,583.9333958520483,199.7944237478636,,False,23.208305274545253
