time,latitude,longitude,depth,magnitude,magnitude_type,latitude_error,longitude_error,depth_error,time_error,magnitude_2,magnitude_2_type,event_type,hypo_method,hypo_precision,y,x,z,rupture_length,is_main_event,distance_to_main
2000-07-15 10:30:32,34.42333333333333,139.24183333333332,9.7,6.3,J,0.0036666666666666,0.0061666666666666,0.86,0.06,6.4,D,earthquake,depth free,high manual,-60.44324943599607,317.6268154259778,21.2856372807511,13.39676687425933,True,
2000-02-29 18:19:46.970000,34.5415,139.23999999999998,11.36,1.4,V,0.0051666666666666,0.0095,1.39,0.11,,,earthquake,depth free,high manual,-47.31282818440845,316.91440349877684,22.680378957925715,,False,13.223494142782757
2000-03-01 19:49:15.480000,34.6265,139.23883333333333,11.78,2.1,V,0.0026666666666666,0.004,1.1,0.06,,,earthquake,depth free,high manual,-37.882647655759456,316.46073138228974,22.92859461829547,,False,22.650382193162887
2000-03-01 20:04:16.160000,34.60933333333333,139.23833333333332,12.56,1.4,V,0.0068333333333333,0.0051666666666666,1.6800000000000002,0.12,,,earthquake,depth free,high manual,-39.77648244729351,316.43461241065876,23.73666626292297,,False,20.845722555634964
2000-03-02 04:05:54,34.626,139.23916666666665,11.84,2.0,V,0.0036666666666666,0.0043333333333333,1.33,0.07,,,earthquake,depth free,high manual,-37.93614917891745,316.48948401981664,22.991182945877902,,False,22.600264837507147
2000-03-02 04:07:41.940000,34.61483333333334,139.24466666666666,14.2,1.1,v,0.0041666666666666,0.0038333333333333,0.94,0.08,,,earthquake,depth free,high manual,-39.12177378541191,316.89445444341567,25.396930026215184,,False,21.726582901278753
2000-07-02 10:22:16.790000,34.514833333333335,139.20583333333332,6.29,0.7,v,0.003,0.0045,1.06,0.05,,,earthquake,depth free,high manual,-50.46434931980632,314.19319126639726,17.493356004847694,,False,11.21381378807917
2000-07-03 09:02:07.690000,34.5195,139.2445,10.17,2.5,v,0.0031666666666666,0.0055,0.88,0.06,,,earthquake,depth free,high manual,-49.75814413724002,317.4783781647057,21.561479035404307,,False,10.689695858145297
2000-07-07 05:24:40.390000,34.5295,139.1915,0.0,1.4,V,0.0031666666666666,0.004,,0.04,,,earthquake,depth slice,high manual,-48.985145701236675,313.19449296601687,11.109128393580663,,False,15.952898066377786
2000-07-07 10:28:00.200000,34.49183333333333,139.17783333333333,0.0,1.8,v,0.0043333333333333,0.0061666666666666,,0.07,,,earthquake,depth slice,high manual,-53.213728326968415,312.0857336121921,11.115689846927603,,False,13.652743092129002
2000-07-09 20:53:26.310000,34.538666666666664,139.19633333333334,0.0,0.9,V,0.0058333333333333,0.0068333333333333,,0.07,,,earthquake,depth slice,high manual,-47.951245132664226,313.6018834393483,11.115915000424229,,False,16.60341833088691
2000-07-09 20:56:32.120000,34.5355,139.19283333333334,0.0,0.8,V,0.0048333333333333,0.006,,0.07,,,earthquake,depth slice,high manual,-48.31423074555551,313.293884242089,11.103911410629086,,False,16.41812805199436
