time,latitude,longitude,depth,magnitude,magnitude_type,latitude_error,longitude_error,depth_error,time_error,magnitude_2,magnitude_2_type,event_type,hypo_method,hypo_precision,y,x,z,rupture_length,is_main_event,distance_to_main
2011-07-31 03:53:50.640000,36.90316666666666,141.22133333333335,57.31,6.5,D,0.005,0.011,0.88,0.11,6.4,W,earthquake,depth free,high manual,221.3810330194292,478.9595706530765,81.75959680929624,18.407720014689527,True,
2011-07-03 19:24:22.330000,37.017833333333336,141.19566666666668,78.85,1.1,V,0.0065,0.0183333333333333,1.34,0.14,,,earthquake,depth free,high manual,233.2601687644389,474.1716004877856,103.30346374135054,,False,25.06345400654399
2011-07-04 18:33:16.520000,36.95,141.40883333333335,65.43,1.7,V,0.0071666666666666,0.0168333333333333,1.58,0.14,,,earthquake,depth free,high manual,227.2381013652112,494.3767762673248,91.40304656409964,,False,19.104753380574873
2011-07-14 17:36:22.830000,37.123,141.44216666666668,46.95,2.5,V,0.0078333333333333,0.0185,1.73,0.19,,,earthquake,depth free,high manual,246.96502299592152,497.7745316557923,73.71219522388449,,False,32.76131824160718
2011-07-20 18:55:10.180000,36.83883333333333,140.98216666666667,50.87,2.3,V,0.0055,0.012,1.1,0.14,,,earthquake,depth free,high manual,213.32694744977144,458.9041713067706,73.41302007084099,,False,23.16792352702547
2011-07-20 20:43:24.550000,37.07716666666667,141.16366666666667,50.3,2.0,V,0.0065,0.0151666666666666,1.08,0.17,,,earthquake,depth free,high manual,240.444907114975,473.4039530524433,74.78250391367071,,False,21.04699521854548
2011-07-21 05:42:01.770000,36.76566666666667,141.10283333333334,45.44,2.3,V,0.0055,0.0121666666666666,1.2,0.13,,,earthquake,depth free,high manual,205.96816949034715,470.4074853869327,68.73481987255423,,False,21.91664524550663
2011-07-21 10:38:09.890000,37.02483333333333,141.05833333333334,34.81,1.9,V,0.004,0.0101666666666666,0.75,0.11,,,earthquake,depth free,high manual,234.61858072381077,465.7791011008107,58.42753611114883,,False,29.888835762973763
2011-07-21 11:05:31.690000,36.7825,141.27016666666668,24.12,2.6,V,0.0033333333333333,0.0078333333333333,0.78,0.1,,,earthquake,depth free,high manual,209.1506504491685,486.848658726904,48.80304768437421,,False,36.02713003661189
2011-07-21 11:23:21.860000,36.843500000000006,141.357,36.09,2.1,V,0.0061666666666666,0.0103333333333333,0.93,0.13,,,earthquake,depth free,high manual,216.0242304939857,493.0766868315087,61.53140458017863,,False,25.24218816485773
2011-07-21 12:19:40.110000,36.82633333333334,141.07,48.21,3.0,V,0.0053333333333333,0.0121666666666666,1.05,0.13,,,earthquake,depth free,high manual,212.42921701243287,466.9170490351683,71.3817505611369,,False,18.244369802526407
2011-07-21 13:28:16.760000,36.87916666666667,141.16566666666668,41.42,1.3,V,0.0081666666666666,0.0196666666666666,1.96,0.19,,,earthquake,depth free,high manual,218.88175113667717,475.56576345047426,65.45411407275544,,False,16.841410407965167
2011-07-21 14:30:15.120000,36.782,140.98416666666665,50.23,2.2,V,0.0048333333333333,0.0101666666666666,1.05,0.12,,,earthquake,depth free,high manual,207.09311366558123,459.4746606535304,72.66436283190399,,False,25.8172352945854
2011-07-21 15:14:31.260000,37.07083333333334,141.125,48.02,1.9,V,0.0055,0.0141666666666666,0.97,0.14,,,earthquake,depth free,high manual,239.62871884005915,470.2476205227753,72.20471649745653,,False,22.364522142331964
2011-07-22 01:51:33.860000,36.7645,141.20216666666664,39.43,2.3,V,0.0081666666666666,0.0155,1.41,0.18,,,earthquake,depth free,high manual,206.46161118386385,479.6640444087316,63.49421341025038,,False,23.594695630460905
2011-07-22 09:37:04.200000,36.79983333333333,141.14383333333333,37.2,2.2,V,0.0063333333333333,0.013,1.27,0.15,,,earthquake,depth free,high manual,210.13115114675935,474.4939726375315,60.90699947492514,,False,24.110832075539946
2011-07-22 10:03:20.300000,37.14783333333333,141.3585,48.78,2.9,V,0.0076666666666666,0.0183333333333333,1.46,0.19,,,earthquake,depth free,high manual,249.22457890958523,490.1322807828852,74.95080398636536,,False,30.764462600337243
2011-07-22 11:06:18.800000,37.09466666666667,141.32983333333334,48.59,2.9,V,0.0071666666666666,0.0171666666666666,1.28,0.18,,,earthquake,depth free,high manual,243.23329752016488,487.9855068408728,74.39251879342137,,False,24.764143965989824
2011-07-22 13:29:05.720000,36.783166666666666,141.10866666666666,31.13,1.9,V,0.0046666666666666,0.0095,0.98,0.11,,,earthquake,depth free,high manual,208.26930111886952,472.0060705599507,54.55972491008866,,False,30.985508036992996
2011-07-22 13:34:33.610000,36.9195,141.16516666666666,51.93,1.7,V,0.006,0.0126666666666666,1.21,0.15,,,earthquake,depth free,high manual,223.048353397422,474.3861724086674,76.01490827955854,,False,7.529765935839874
