time,latitude,longitude,depth,magnitude,magnitude_type,latitude_error,longitude_error,depth_error,time_error,magnitude_2,magnitude_2_type,event_type,hypo_method,hypo_precision,y,x,z,rupture_length,is_main_event,distance_to_main
2018-07-07 20:23:48.940000,35.16533333333333,140.592,56.81,6.0,D,0.0098333333333333,0.017,2.03,0.21,5.9,W,earthquake,depth free,high manual,27.240825933358355,433.28649945284616,75.4154610611291,8.3176377110267,True,
2012-07-01 20:13:57.610000,35.270833333333336,140.6688333333333,51.13,0.8,V,0.0146666666666666,0.0253333333333333,4.61,0.39,,,earthquake,depth free,high manual,39.178896813255314,440.05357683747735,70.20566687651527,,False,14.678311486988779
2012-08-20 17:33:40.920000,35.12383333333334,140.69933333333333,56.04,1.7,V,0.0085,0.0139999999999999,2.29,0.21,,,earthquake,depth free,high manual,23.146703987347745,443.2017319261369,75.44233570346947,,False,10.72727326745274
2012-09-13 06:44:15.760000,35.16383333333333,140.5135,66.11,1.2,V,0.02,0.034,3.39,0.41,,,earthquake,depth free,high manual,26.77562290608969,425.5401842587357,84.14686736170279,,False,11.681578186563012
2012-09-21 12:25:11.800000,35.16983333333333,140.47916666666666,50.04,1.8,V,0.0093333333333333,0.0165,1.63,0.19,,,earthquake,depth free,high manual,27.215090678270176,423.6539429514209,67.88359514020965,,False,12.227665815976986
2012-10-13 22:41:15.630000,35.164,140.69833333333332,56.76,1.6,V,0.01,0.0174999999999999,2.51,0.23,,,earthquake,depth free,high manual,27.566873832068136,442.83641190565766,76.114375849425,,False,9.58100292088025
2012-10-19 15:02:39.770000,35.25716666666667,140.45333333333332,58.45,1.3,V,0.0151666666666666,0.023,2.27,0.28,,,earthquake,depth free,high manual,36.75320443920889,420.2451492880797,76.02312665378169,,False,16.15337167377497
2012-11-21 17:08:40.530000,35.07216666666667,140.68099999999998,49.03,1.0,V,0.012,0.017,2.99,0.26,,,earthquake,depth free,high manual,17.334520394240442,442.3894063185884,68.37843509727936,,False,15.18280399849219
2012-11-30 09:22:20.870000,35.20933333333333,140.43283333333332,61.58,2.1,V,0.0111666666666666,0.019,1.97,0.23,,,earthquake,depth free,high manual,31.413785481693196,418.4193385228137,79.04224174640777,,False,15.86189155336252
2012-11-30 09:54:40.940000,35.21966666666667,140.43716666666668,60.55,2.2,V,0.0098333333333333,0.0165,1.69,0.2,,,earthquake,depth free,high manual,32.56507797392209,418.8319728512982,78.03614934820703,,False,15.625268194956925
