lon,lat
130.4807692,30.73964497
130.9855769,30.97633136
131.6706731,31.18343195
131.6706731,31.92307692
131.9951923,32.5147929
132.9326923,32.4260355
133.7259615,32.75147929
134.5913462,33.10650888
135.78125,33.04733728
137.0072115,33.96449704
137.8365385,34.23076923
138.4495192,34.34911243
138.8822115,34.43786982
139.1706731,34.55621302
139.4230769,35
139.3149038,34.9408284
139.6394231,34.76331361
140.0360577,34.64497041
140.46875,34.85207101
141.1177885,35.56213018
141.3701923,36.71597633
142.4519231,38.52071006
143.1730769,40.85798817
146.1658654,42.69230769
146.5264423,43.96449704
145.8052885,44.9408284
144.0745192,45.23668639
141.5504808,46.06508876
141.3341346,45.73964497
141.3341346,45.44378698
141.3701923,45.17751479
141.1538462,44.55621302
140.0721154,43.90532544
139.4230769,42.86982249
139.53125,42.4852071
139.6754808,41.86390533
139.4230769,41.21301775
138.8822115,39.8816568
138.4495192,38.63905325
137.6201923,38.07692308
136.7908654,37.81065089
135.8533654,37.33727811
134.8798077,36.44970414
134.1947115,36.21301775
133.3293269,36.00591716
132.1394231,35.65088757
130.2283654,34.40828402
129.2908654,33.90532544
129.0745192,33.46153846
129.2908654,32.66272189
129.2548077,31.50887574
129.7956731,30.94674556
